doc_type	doc_id	num	date_str	description	url_metadata	lang	url_pdf
lk_hansard_2020s	2026-06-25-2026-06-25	2026-06-25	2026-06-25	Hansard of 2026-06-25	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23795_english_2026-06-25.pdf
lk_hansard_2020s	2026-06-24-2026-06-24	2026-06-24	2026-06-24	Hansard of 2026-06-24	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23749_english_2026-06-24.pdf
lk_hansard_2020s	2026-06-23-2026-06-23	2026-06-23	2026-06-23	Hansard of 2026-06-23	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23741_english_2026-06-23.pdf
lk_hansard_2020s	2026-06-12-2026-06-12	2026-06-12	2026-06-12	Hansard of 2026-06-12	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23730_english_2026-06-12.pdf
lk_hansard_2020s	2026-06-11-2026-06-11	2026-06-11	2026-06-11	Hansard of 2026-06-11	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23716_english_2026-06-11.pdf
lk_hansard_2020s	2026-06-10-2026-06-10	2026-06-10	2026-06-10	Hansard of 2026-06-10	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23707_english_2026-06-10.pdf
lk_hansard_2020s	2026-06-09-2026-06-09	2026-06-09	2026-06-09	Hansard of 2026-06-09	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23706_english_2026-06-09.pdf
lk_hansard_2020s	2026-05-22-2026-05-22	2026-05-22	2026-05-22	Hansard of 2026-05-22	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23631_english_2026-05-22.pdf
lk_hansard_2020s	2026-05-21-2026-05-21	2026-05-21	2026-05-21	Hansard of 2026-05-21	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23621_english_2026-05-21.pdf
lk_hansard_2020s	2026-05-20-2026-05-20	2026-05-20	2026-05-20	Hansard of 2026-05-20	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/businessdocs/english/23618_english_2026-05-20.pdf
